INFO: text_id: D4049   uid: f91df6f567724b9683e1505324b92309
INFO: text_id: D4050   uid: 7403f1aa10194d6ba37aa48503a23357
INFO: text_id: D4052   uid: 86f74bc2c910493094ac1a9f4726efb8
INFO: text_id: D4055   uid: 388b4621caf7433b827217958fe16f7a
INFO: text_id: D4056   uid: f95e3a3dbb004d77a24c2bbad54a3c62
INFO: text_id: D4057   uid: 1078d5a60c244cc7bd6efe0b9f1b5516
INFO: text_id: D4058   uid: 5faf462ee53d429496f878542d204b86
INFO: text_id: D4059   uid: 2dac53d709a341619ee4d58ee23ea503
INFO: text_id: D4060   uid: 0c61bfa0ee424293bf943a21fdf10852
INFO: text_id: D4061   uid: 23813ad21d594dfab490d2e4888a3e74
INFO: text_id: D4062   uid: 230793995bfa4f2d9a089ebcd2683124
INFO: text_id: D4063   uid: 031fc243b28f45678ded261af942bff4
INFO: text_id: D4067   uid: c23e7e6ee6fa494e9d7b56b881de0456
INFO: text_id: D4068   uid: b6bbf186be5949df8b27c8e920f126b6
INFO: text_id: D4073   uid: 0c3a75d27b554dd094b799ae721041d5
INFO: text_id: D4074   uid: 090e6f15205f4941b5955a060b095013
INFO: text_id: D4082   uid: 31d0d1ddbccb421c87aeb3d2c1b48460
INFO: text_id: D4089   uid: e5f5a2cee67a4ed9b778aa8991833a90
INFO: text_id: D4090   uid: c9048b434d9e423ca664da5653dff49e
INFO: text_id: D4095   uid: 943ddc8b7def4e518e3841493296fcc9
INFO: text_id: D4101   uid: cbd37a444f18480aa3e69c76ad5b0270
INFO: text_id: D4102   uid: 3e5ccf01f3ea4929a2762fae2336f197
INFO: text_id: D4103   uid: 2a7c24be8d004ef9866143c052837632
INFO: text_id: D4117   uid: 189500971da44dde887421e3fec9a25e
INFO: text_id: D4118   uid: e303617f9d334c629b27ef6154a752ca
INFO: text_id: D4119   uid: e3129235a2134a2baf7bf0a1f22a03eb
INFO: text_id: D4121   uid: 9a7c877709d844ffaa41bd57bd0451d3
INFO: text_id: D4122   uid: 1b8e5f2a23084db6b35dc7d5530565f0
INFO: text_id: D4124   uid: 5b13d10de8c549fea47026bd3634c9ee
INFO: text_id: D4125   uid: 5a70ae26424b4d00aac82a67a29abd12
INFO: text_id: D4127   uid: 0b112bf718954aeb9f285f7ae43025e8
INFO: text_id: D4132   uid: a37a8501546e4493be9e46318d2193c5
INFO: text_id: D4133   uid: 09527c78aae443f0b67b0c3d01973aed
INFO: text_id: D4138   uid: 9a4f4ff2324845d1aeff0cd9979ff4c9
INFO: text_id: D4139   uid: 105f40c3223543a4aa9038277a246c3f
INFO: text_id: D4151   uid: 10719f3aed714f5d845f212e2341806c
INFO: text_id: D4158   uid: 929315f9f8574467ab315152751183b8
INFO: text_id: D4160   uid: 530c2aa8fd7346fc8ff4d2c618ed0cb5
INFO: text_id: D4161   uid: 3cd1f0a3cc99414e8a27beac1bd6106f
INFO: text_id: D4162   uid: 820f8f331e4c4d8398c47b8f25209f74
INFO: text_id: D4163   uid: cf00c88432ed436ca3d3109f1894e343
INFO: text_id: D4164   uid: b0c455a9c3914513b4af12759ea1c012
INFO: text_id: D4166   uid: 3c0bcaabd82944f993c375e49ea5871d
INFO: text_id: D4180   uid: 250ab9f21fca408ba7d258ef7e085782
INFO: text_id: D4182   uid: a3c5034bed4f46ae958434f6ec0d48f8
INFO: text_id: D4188   uid: 250b4616de7645bb850705e550dc96e3
INFO: text_id: D4203   uid: 48ee828d5a5e4c249ea1c8af6f8f14c8
INFO: text_id: D4204   uid: 6ab5ce989d344d9d8ec23c35aa610ddb
INFO: text_id: D4205   uid: 7083dbc7e4f34c3eb8e4a6fd97b38dc9
